year,local_temp,global_temp
1843,24.74,8.17
1844,15.45,7.65
1845,20.82,7.85
1846,,8.55
1847,,8.09
1848,24.56,7.98
1849,24.80,7.98
1850,24.34,7.90
1851,25.03,8.18
1852,24.85,8.10
1853,24.93,8.04
1854,24.72,8.21
1855,24.92,8.11
1856,24.57,8.00
1857,24.26,7.76
1858,25.01,8.10
1859,24.95,8.25
1860,24.94,7.96
1861,24.13,7.85
1862,23.77,7.56
1863,24.28,8.11
1864,25.03,7.98
1865,25.23,8.18
1866,24.92,8.29
1867,25.22,8.44
1868,25.00,8.25
1869,25.30,8.43
1870,25.02,8.20
1871,24.73,8.12
1872,24.87,8.19
1873,25.24,8.35
1874,24.98,8.43
1875,24.43,7.86
1876,24.89,8.08
1877,25.47,8.54
1878,25.51,8.83
1879,25.24,8.17
1880,24.80,8.12
1881,25.63,8.27
1882,24.66,8.13
1883,25.19,7.98
1884,24.80,7.77
1885,24.98,7.92
1886,24.98,7.95
1887,24.81,7.91
1888,25.13,8.09
1889,25.52,8.32
1890,25.07,7.97
1891,25.39,8.02
1892,25.22,8.07
1893,25.19,8.06
1894,24.66,8.16
1895,24.69,8.15
1896,24.88,8.21
1897,24.86,8.29
1898,24.88,8.18
1899,25.12,8.40
1900,25.29,8.50
1901,25.55,8.54
1902,25.25,8.30
1903,24.64,8.22
1904,25.07,8.09
1905,24.87,8.23
1906,24.85,8.38
1907,24.44,7.95
1908,24.95,8.19
1909,25.57,8.18
1910,24.75,8.22
1911,24.24,8.18
1912,24.96,8.17
1913,24.63,8.30
1914,24.94,8.59
1915,25.38,8.59
1916,24.85,8.23
1917,25.03,8.02
1918,24.66,8.13
1919,25.39,8.38
1920,24.94,8.36
1921,24.84,8.57
1922,25.35,8.41
1923,25.10,8.42
1924,25.69,8.51
1925,25.00,8.53
1926,25.19,8.73
1927,25.29,8.52
1928,25.39,8.63
1929,25.36,8.24
1930,25.39,8.63
1931,25.38,8.72
1932,24.96,8.71
1933,24.67,8.34
1934,24.97,8.63
1935,25.61,8.52
1936,25.15,8.55
1937,25.08,8.70
1938,25.11,8.86
1939,25.16,8.76
1940,25.51,8.76
1941,25.37,8.77
1942,25.49,8.73
1943,24.96,8.76
1944,25.60,8.85
1945,25.30,8.58
1946,25.49,8.68
1947,26.00,8.80
1948,24.85,8.75
1949,24.82,8.59
1950,24.98,8.37
1951,26.10,8.63
1952,25.72,8.64
1953,25.51,8.87
1954,25.80,8.56
1955,25.33,8.63
1956,25.02,8.28
1957,24.69,8.73
1958,25.64,8.77
1959,24.14,8.73
1960,25.67,8.58
1961,25.12,8.80
1962,26.10,8.75
1963,25.54,8.86
1964,25.14,8.41
1965,25.59,8.53
1966,26.16,8.60
1967,24.87,8.70
1968,25.21,8.52
1969,26.05,8.60
1970,25.84,8.70
1971,24.93,8.60
1972,24.74,8.50
1973,25.60,8.95
1974,25.40,8.47
1975,25.04,8.74
1976,24.97,8.35
1977,25.99,8.85
1978,25.95,8.69
1979,26.20,8.73
1980,25.83,8.98
1981,25.95,9.17
1982,24.62,8.64
1983,24.85,9.03
1984,25.05,8.69
1985,25.30,8.66
1986,25.36,8.83
1987,26.37,8.99
1988,25.99,9.20
1989,25.05,8.92
1990,25.70,9.23
1991,25.43,9.18
1992,24.37,8.84
1993,25.42,8.87
1994,26.08,9.04
1995,25.64,9.35
1996,26.28,9.04
1997,25.49,9.20
1998,26.73,9.52
1999,26.92,9.29
2000,26.55,9.20
2001,26.67,9.41
2002,26.44,9.57
2003,26.62,9.53
2004,26.20,9.32
2005,26.27,9.70
2006,26.24,9.53
2007,26.49,9.73
2008,26.21,9.43
2009,26.71,9.51
2010,27.37,9.70
2011,26.40,9.52
2012,26.83,9.51
2013,27.78,9.61
